,DAYS,STATION_LINE,TOTAL_TRAFFIC
3143,Wednesday,DEKALB AV BDNQR,101287.0
3338,Wednesday,WAKEFIELD/241 2,100901.0
3257,Wednesday,NEVINS ST 2345,100860.0
3151,Wednesday,E 180 ST 25,100801.0
3129,Wednesday,CLASSON AV G,100780.0
2974,Wednesday,40 ST LOWERY ST 7,100727.0
2941,Wednesday,21 ST-QNSBRIDGE F,100684.0
3258,Wednesday,NEW LOTS AV 3,100384.0
3021,Wednesday,79 ST 1,99858.0
3220,Wednesday,KINGS HWY F,99853.0
3003,Wednesday,63 DR-REGO PARK MR,99155.0
3343,Wednesday,WHITEHALL S-FRY R1W,98686.0
3180,Wednesday,GATES AV JZ,98436.0
2930,Wednesday,181 ST 1,98287.0
2988,Wednesday,50 ST CE,97813.0
3218,Wednesday,KEW GARDENS EF,97442.0
2877,Wednesday,103 ST BC,96283.0
3311,Wednesday,SPRING ST 6,95562.0
2957,Wednesday,28 ST NRW,95266.0
2926,Wednesday,18 AV D,95235.0
3027,Wednesday,81 ST-MUSEUM BC,95056.0
3291,Wednesday,PROSPECT PARK BQS,95011.0
2936,Wednesday,2 AV F,94951.0
3281,Wednesday,PATH WTC 2 1,94765.0
3099,Wednesday,BROADWAY JCT ACJLZ,94457.0
3278,Wednesday,PARKSIDE AV BQ,93740.0
2991,Wednesday,52 ST 7,93388.0
2927,Wednesday,18 AV F,93219.0
2920,Wednesday,170 ST 4,93165.0
3316,Wednesday,STERLING ST 25,92972.0
3005,Wednesday,66 ST-LINCOLN 1,92686.0
3318,Wednesday,SUTPHIN-ARCHER EJZ,92433.0
2956,Wednesday,28 ST 6,92413.0
3134,Wednesday,CORTELYOU RD BQ,91943.0
2896,Wednesday,137 ST CITY COL 1,91703.0
2969,Wednesday,36 AV NQW,90053.0
2881,Wednesday,110 ST 6,89747.0
3292,Wednesday,QUEENS PLAZA EMR,89249.0
3155,Wednesday,EASTN PKWY-MUSM 23,88576.0
3289,Wednesday,PROSPECT AV 25,88559.0
3194,Wednesday,HARLEM 148 ST 3,88244.0
2900,Wednesday,14 ST FLM123,87888.0
3179,Wednesday,FULTON ST G,87363.0
2924,Wednesday,175 ST A,87253.0
2973,Wednesday,4 AV-9 ST DFGMNR,86975.0
2949,Wednesday,23 ST NRW,86566.0
3245,Wednesday,MORISN AV/SNDVW 6,86225.0
2929,Wednesday,18 ST 1,86206.0
3186,Wednesday,GRANT AV A,86184.0
2934,Wednesday,190 ST A,85400.0
3224,Wednesday,KINGSTON AV 3,85168.0
3024,Wednesday,8 AV N,85049.0
3109,Wednesday,CANAL ST ACE,84575.0
3269,Wednesday,NORWOOD AV JZ,84177.0
2963,Wednesday,33 ST-RAWSON ST 7,84119.0
3244,Wednesday,MORGAN AV L,84074.0
3182,Wednesday,GRAND ARMY PLAZ 23,83306.0
3270,Wednesday,NOSTRAND AV 3,83105.0
2933,Wednesday,183 ST 4,82984.0
3288,Wednesday,PRINCE ST NRW,82972.0
3001,Wednesday,6 AV FLM123,82046.0
3006,Wednesday,67 AV MR,82030.0
2894,Wednesday,135 ST 23,81951.0
2890,Wednesday,125 ST 1,81499.0
2911,Wednesday,157 ST 1,81168.0
3034,Wednesday,86 ST R,81018.0
3081,Wednesday,BEDFORD PK BLVD 4,80836.0
3133,Wednesday,CONEY IS-STILLW DFNQ,79901.0
3236,Wednesday,LORIMER ST LG,79523.0
3227,Wednesday,KOSCIUSZKO ST J,79229.0
3114,Wednesday,CATHEDRAL PKWY 1,79058.0
3265,Wednesday,NEWKIRK AV 25,78900.0
3148,Wednesday,DYCKMAN ST A,78786.0
3204,Wednesday,INTERVALE AV 25,78759.0
3060,Wednesday,AVENUE U BQ,78523.0
3212,Wednesday,JEFFERSON ST L,78460.0
3144,Wednesday,DEKALB AV L,78431.0
3045,Wednesday,ALLERTON AV 25,78003.0
2891,Wednesday,125 ST 23,77923.0
2897,Wednesday,138/GRAND CONC 45,77914.0
3161,Wednesday,FLATBUSH AV-B.C 25,77322.0
3339,Wednesday,WALL ST 23,76738.0
3345,Wednesday,WILSON AV L,76119.0
3230,Wednesday,LEXINGTON AV/53 EM6,75607.0
3349,Wednesday,WOODLAWN 4,75535.0
3248,Wednesday,MT EDEN AV 4,75063.0
3331,Wednesday,V.CORTLANDT PK 1,75003.0
3192,Wednesday,HALSEY ST J,74809.0
3237,Wednesday,MARBLE HILL-225 1,74729.0
3312,Wednesday,SPRING ST CE,74535.0
3139,Wednesday,CRESCENT ST JZ,74466.0
3082,Wednesday,BEDFORD PK BLVD BD,74349.0
3098,Wednesday,BROADWAY G,74307.0
3152,Wednesday,EAST 105 ST L,74236.0
2885,Wednesday,116 ST 23,73742.0
2959,Wednesday,3 AV L,73379.0
2997,Wednesday,59 ST COLUMBUS 1ABCD,73301.0
3093,Wednesday,BOWLING GREEN 45,72949.0
2950,Wednesday,231 ST 1,72948.0
3226,Wednesday,KNICKERBOCKER M,72890.0
3222,Wednesday,KINGSBRIDGE RD 4,72778.0
3207,Wednesday,JAMAICA 179 ST F,72563.0
3022,Wednesday,79 ST D,72490.0
3020,Wednesday,77 ST R,71818.0
3153,Wednesday,EAST BROADWAY F,71597.0
3009,Wednesday,7 AV BDE,70880.0
3041,Wednesday,96 ST BC,70764.0
2912,Wednesday,161/YANKEE STAD 4BD,70630.0
2961,Wednesday,30 AV NQW,70550.0
3104,Wednesday,BUHRE AV 6,70472.0
3327,Wednesday,TREMONT AV BD,70417.0
3268,Wednesday,NORWOOD 205 ST D,70182.0
3287,Wednesday,PRESIDENT ST 25,69808.0
2913,Wednesday,161/YANKEE STAD BD4,69734.0
3095,Wednesday,BRIGHTON BEACH BQ,69536.0
2939,Wednesday,207 ST 1,69338.0
3267,Wednesday,NORTHERN BLVD MR,68844.0
2932,Wednesday,182-183 STS BD,68785.0
2953,Wednesday,25 AV D,68588.0
3025,Wednesday,8 ST-NYU NRW,68429.0
2937,Wednesday,20 AV D,68300.0
2928,Wednesday,18 AV N,68190.0
3329,Wednesday,UNION ST R,68044.0
3260,Wednesday,NEW UTRECHT AV ND,67521.0
3094,Wednesday,BRIARWOOD EF,67311.0
2979,Wednesday,46 ST BLISS ST 7,66504.0
3313,Wednesday,ST LAWRENCE AV 6,66378.0
2903,Wednesday,145 ST 1,65618.0
3239,Wednesday,METROPOLITAN AV GL,64480.0
2922,Wednesday,174 ST 25,64386.0
3004,Wednesday,65 ST MR,63504.0
3116,Wednesday,CENTRAL AV M,63336.0
3091,Wednesday,BOTANIC GARDEN S2345,62435.0
3346,Wednesday,WINTHROP ST 25,61919.0
2944,Wednesday,225 ST 25,61878.0
3123,Wednesday,CHURCH AV 25,61436.0
3030,Wednesday,86 ST 1,61278.0
3299,Wednesday,ROCKAWAY AV 3,61198.0
3200,Wednesday,HOYT ST 23,61067.0
2893,Wednesday,125 ST ACBD,61038.0
3246,Wednesday,MORRIS PARK 5,60514.0
3300,Wednesday,ROCKAWAY AV C,60398.0
3294,Wednesday,RALPH AV C,60370.0
2989,Wednesday,50 ST D,60300.0
3119,Wednesday,CHAMBERS ST ACE23,60141.0
3168,Wednesday,FOREST HILLS 71 EFMR,59541.0
3307,Wednesday,SHEPHERD AV C,59082.0
3184,Wednesday,GRAND ST L,58675.0
3310,Wednesday,SOUTH FERRY 1RW,58666.0
2925,Wednesday,176 ST 4,58567.0
3036,Wednesday,88 ST A,58094.0
2999,Wednesday,59 ST NQR456W,58013.0
3171,Wednesday,FRANKLIN ST 1,57792.0
3122,Wednesday,CHRISTOPHER ST 1,57702.0
3063,Wednesday,AVENUE X F,57640.0
3088,Wednesday,BLEECKER ST 6DF,57523.0
2968,Wednesday,34 ST-PENN STA ACE,57442.0
3303,Wednesday,ROOSEVELT ISLND F,57246.0
3238,Wednesday,MARCY AV JMZ,56988.0
3334,Wednesday,VAN SICLEN AVE C,56828.0
3120,Wednesday,CHAMBERS ST JZ456,56660.0
3193,Wednesday,HALSEY ST L,56084.0
3107,Wednesday,BUSHWICK AV L,56005.0
3280,Wednesday,PATH NEW WTC 1,55977.0
3086,Wednesday,BEVERLEY ROAD BQ,55812.0
3138,Wednesday,COURT SQ-23 ST EMG,55775.0
3102,Wednesday,BROOK AV 6,55755.0
3206,Wednesday,JACKSON AV 25,55714.0
3172,Wednesday,FREEMAN ST 25,55535.0
2909,Wednesday,155 ST BD,55243.0
3012,Wednesday,71 ST D,55128.0
3048,Wednesday,ASTOR PL 6,54820.0
3087,Wednesday,BEVERLY RD 25,54796.0
3140,Wednesday,CROWN HTS-UTICA 34,54712.0
2951,Wednesday,233 ST 25,54262.0
3111,Wednesday,CANARSIE-ROCKAW L,54208.0
3250,Wednesday,MYRTLE-WILLOUGH G,54111.0
3263,Wednesday,NEWARK HM HE 1,54036.0
3136,Wednesday,COURT SQ 7,54000.0
3176,Wednesday,FT HAMILTON PKY N,53661.0
3069,Wednesday,BAY RIDGE AV R,53281.0
3211,Wednesday,JAY ST-METROTEC R,53033.0
3252,Wednesday,NASSAU AV G,52925.0
3290,Wednesday,PROSPECT AV R,52860.0
3073,Wednesday,BEACH 25 ST A,52756.0
3117,Wednesday,CENTRAL PK N110 23,52356.0
3225,Wednesday,KINGSTON-THROOP C,51960.0
2972,Wednesday,39 AV NQW,51754.0
3242,Wednesday,MIDDLETOWN RD 6,51616.0
3029,Wednesday,85 ST-FOREST PK J,51579.0
3100,Wednesday,BROADWAY NQW,51569.0
3315,Wednesday,STEINWAY ST MR,50956.0
3070,Wednesday,BAY RIDGE-95 ST R,50876.0
3175,Wednesday,FT HAMILTON PKY FG,50701.0
3167,Wednesday,FOREST AVE M,50699.0
3198,Wednesday,HOUSTON ST 1,50696.0
3077,Wednesday,BEACH 67 ST A,50690.0
3340,Wednesday,WALL ST 45,50090.0
3235,Wednesday,LORIMER ST JM,49769.0
2983,Wednesday,4AV-9 ST DFGMNR,49638.0
3121,Wednesday,CHAUNCEY ST JZ,49138.0
3059,Wednesday,AVENUE P F,49063.0
2943,Wednesday,219 ST 25,48978.0
3092,Wednesday,BOWERY JZ,48671.0
3076,Wednesday,BEACH 60 ST A,48655.0
3105,Wednesday,BURKE AV 25,48574.0
3008,Wednesday,69 ST 7,48516.0
3256,Wednesday,NEREID AV 25,48334.0
3196,Wednesday,HEWES ST JM,48168.0
2994,Wednesday,57 ST F,48057.0
3301,Wednesday,ROCKAWAY BLVD A,47821.0
3341,Wednesday,WEST FARMS SQ 25,47813.0
3150,Wednesday,E 149 ST 6,47685.0
3160,Wednesday,FAR ROCKAWAY A,47501.0
3097,Wednesday,BROAD ST JZ,47384.0
2980,Wednesday,46 ST MR,46585.0
3296,Wednesday,RECTOR ST NRW,46513.0
3018,Wednesday,75 ST-ELDERTS JZ,46495.0
2884,Wednesday,111 ST J,46479.0
3352,Wednesday,ZEREGA AV 6,46394.0
3158,Wednesday,EUCLID AV AC,46048.0
3189,Wednesday,GROVE STREET 1,45638.0
3314,Wednesday,ST. GEORGE 1,45629.0
3347,Wednesday,WOODHAVEN BLVD JZ,45506.0
3084,Wednesday,BERGEN ST 23,45262.0
3305,Wednesday,SENECA AVE M,45136.0
3065,Wednesday,BAY 50 ST D,44822.0
3223,Wednesday,KINGSBRIDGE RD BD,44443.0
3103,Wednesday,BROOKLYN BRIDGE 456JZ,43595.0
3135,Wednesday,CORTLANDT ST RNW,43548.0
3191,Wednesday,GUN HILL RD 5,43489.0
3350,Wednesday,WORLD TRADE CTR ACE23,43463.0
3174,Wednesday,FT HAMILTON PKY D,43165.0
3141,Wednesday,CYPRESS AV 6,43073.0
3247,Wednesday,MOSHOLU PKWY 4,42681.0
3221,Wednesday,KINGS HWY N,42005.0
3275,Wednesday,PARK PLACE 23ACE,41695.0
3240,Wednesday,METROPOLITAN AV M,41255.0
3276,Wednesday,PARK PLACE S,41036.0
3321,Wednesday,THIRTY ST 1,39739.0
3137,Wednesday,COURT SQ EMG,39168.0
3090,Wednesday,BOROUGH HALL R2345,38554.0
3286,Wednesday,PENNSYLVANIA AV 3,38185.0
3173,Wednesday,FRESH POND RD M,37990.0
3185,Wednesday,GRAND-NEWTOWN MR,37976.0
3333,Wednesday,VAN SICLEN AV JZ,37920.0
3085,Wednesday,BERGEN ST FG,37694.0
3038,Wednesday,90 ST-ELMHURST 7,37593.0
3234,Wednesday,LONGWOOD AV 6,37501.0
3101,Wednesday,BRONX PARK EAST 25,37212.0
3298,Wednesday,RIT-ROOSEVELT R,37141.0
3056,Wednesday,AVENUE J BQ,37049.0
3285,Wednesday,PELHAM PKWY 5,36820.0
3213,Wednesday,JFK JAMAICA CT1 E,36758.0
2992,Wednesday,53 ST R,36633.0
3108,Wednesday,CANAL ST 1,36466.0
3202,Wednesday,HUNTERS PT AV 7,36442.0
2880,Wednesday,104 ST JZ,35608.0
3131,Wednesday,CLINTON-WASH AV C,35536.0
3232,Wednesday,LIBERTY AV C,35460.0
2993,Wednesday,55 ST D,35438.0
3170,Wednesday,FRANKLIN AV ACS,35367.0
3112,Wednesday,CARROLL ST FG,35315.0
3128,Wednesday,CLARK ST 23,35234.0
2914,Wednesday,163 ST-AMSTERDM C,35185.0
3071,Wednesday,BAYCHESTER AV 5,35138.0
2940,Wednesday,21 ST G,34929.0
3062,Wednesday,AVENUE U N,34802.0
3264,Wednesday,NEWARK HW BMEBE 1,34485.0
3126,Wednesday,CITY / BUS 1,34189.0
2923,Wednesday,174-175 STS BD,33255.0
3055,Wednesday,AVENUE I F,33229.0
3016,Wednesday,74 ST-BROADWAY 7EFMR,32403.0
3154,Wednesday,EASTCHSTER/DYRE 5,32390.0
2921,Wednesday,170 ST BD,32263.0
3254,Wednesday,NECK RD BQ,32204.0
2887,Wednesday,116 ST BC,31642.0
2919,Wednesday,169 ST F,31192.0
2952,Wednesday,238 ST 1,31168.0
2910,Wednesday,155 ST C,30548.0
3127,Wednesday,CITY HALL NRW,30541.0
2907,Wednesday,14TH STREET 1,30483.0
3057,Wednesday,AVENUE M BQ,30062.0
3178,Wednesday,FULTON ST ACJZ2345,29652.0
3233,Wednesday,LIVONIA AV L,29545.0
2879,Wednesday,104 ST A,29526.0
2904,Wednesday,145 ST 3,29216.0
3274,Wednesday,OZONE PK LEFFRT A,27694.0
3115,Wednesday,CATHEDRAL PKWY BC,27312.0
3061,Wednesday,AVENUE U F,27309.0
3162,Wednesday,FLUSHING AV G,27100.0
3241,Wednesday,METS-WILLETS PT 7,26873.0
3124,Wednesday,CHURCH AV BQ,26457.0
3297,Wednesday,RIT-MANHATTAN R,26296.0
3344,Wednesday,WHITLOCK AV 6,26009.0
3043,Wednesday,9TH STREET 1,25881.0
