,DAYS,STATION_LINE,TOTAL_TRAFFIC
923,Monday,SUTPHIN-ARCHER EJZ,86381.0
593,Monday,50 ST CE,85920.0
532,Monday,18 AV F,85767.0
948,Monday,WHITEHALL S-FRY R1W,85604.0
863,Monday,NEW LOTS AV 3,85573.0
896,Monday,PROSPECT PARK BQS,85484.0
704,Monday,BROADWAY JCT ACJLZ,84755.0
562,Monday,28 ST NRW,84693.0
921,Monday,STERLING ST 25,84610.0
486,Monday,110 ST 6,84406.0
525,Monday,170 ST 4,84301.0
596,Monday,52 ST 7,84053.0
501,Monday,137 ST CITY COL 1,83910.0
739,Monday,CORTELYOU RD BQ,83566.0
541,Monday,2 AV F,81977.0
529,Monday,175 ST A,81569.0
574,Monday,36 AV NQW,81522.0
632,Monday,81 ST-MUSEUM BC,81398.0
886,Monday,PATH WTC 2 1,80720.0
850,Monday,MORISN AV/SNDVW 6,80271.0
610,Monday,66 ST-LINCOLN 1,80128.0
568,Monday,33 ST-RAWSON ST 7,80052.0
561,Monday,28 ST 6,79246.0
894,Monday,PROSPECT AV 25,79134.0
829,Monday,KINGSTON AV 3,79134.0
539,Monday,190 ST A,78314.0
799,Monday,HARLEM 148 ST 3,77954.0
791,Monday,GRANT AV A,77944.0
784,Monday,FULTON ST G,77857.0
874,Monday,NORWOOD AV JZ,77056.0
714,Monday,CANAL ST ACE,76593.0
738,Monday,CONEY IS-STILLW DFNQ,76509.0
578,Monday,4 AV-9 ST DFGMNR,76312.0
897,Monday,QUEENS PLAZA EMR,76015.0
849,Monday,MORGAN AV L,75911.0
554,Monday,23 ST NRW,75743.0
893,Monday,PRINCE ST NRW,75566.0
538,Monday,183 ST 4,75329.0
505,Monday,14 ST FLM123,74373.0
665,Monday,AVENUE U BQ,73902.0
832,Monday,KOSCIUSZKO ST J,73677.0
875,Monday,NOSTRAND AV 3,73667.0
606,Monday,6 AV FLM123,73168.0
495,Monday,125 ST 1,73127.0
950,Monday,WILSON AV L,72795.0
499,Monday,135 ST 23,72638.0
611,Monday,67 AV MR,72592.0
534,Monday,18 ST 1,72359.0
650,Monday,ALLERTON AV 25,72165.0
516,Monday,157 ST 1,71995.0
639,Monday,86 ST R,71698.0
749,Monday,DEKALB AV L,71378.0
787,Monday,GRAND ARMY PLAZ 23,71237.0
753,Monday,DYCKMAN ST A,71070.0
870,Monday,NEWKIRK AV 25,70890.0
