,DAYS,STATION_LINE,TOTAL_TRAFFIC
1887,Sunday,TIMES SQ-42 ST 1237ACENQRSW,47749.0
1522,Sunday,3 AV L,47507.0
1459,Sunday,137 ST CITY COL 1,46821.0
1852,Sunday,PROSPECT AV 25,46735.0
1588,Sunday,8 ST-NYU NRW,46526.0
1844,Sunday,PATH WTC 2 1,46326.0
1808,Sunday,MORISN AV/SNDVW 6,46009.0
1775,Sunday,JEFFERSON ST L,45973.0
1693,Sunday,CLEVELAND ST J,45813.0
1453,Sunday,125 ST 1,45788.0
1802,Sunday,METROPOLITAN AV GL,45759.0
1711,Sunday,DYCKMAN ST A,45615.0
1702,Sunday,CRESCENT ST JZ,45409.0
1564,Sunday,6 AV FLM123,45062.0
1751,Sunday,GREENPOINT AV G,45014.0
1487,Sunday,175 ST A,45003.0
1716,Sunday,EAST BROADWAY F,44916.0
1520,Sunday,28 ST NRW,44809.0
1495,Sunday,182-183 STS BD,44232.0
1612,Sunday,ASTORIA BLVD NQW,44088.0
1879,Sunday,STERLING ST 25,44072.0
1476,Sunday,161/YANKEE STAD BD4,43698.0
1512,Sunday,23 ST NRW,43512.0
1833,Sunday,NOSTRAND AV 3,43289.0
1454,Sunday,125 ST 23,42910.0
1672,Sunday,CANAL ST ACE,42673.0
1623,Sunday,AVENUE U BQ,42600.0
1757,Sunday,HARLEM 148 ST 3,42359.0
1655,Sunday,BOWERY JZ,42320.0
1906,Sunday,WHITEHALL S-FRY R1W,42307.0
1908,Sunday,WILSON AV L,42306.0
1532,Sunday,36 AV NQW,42272.0
1559,Sunday,59 ST 456NQRW,42269.0
1541,Sunday,45 ST R,42220.0
1881,Sunday,SUTPHIN-ARCHER EJZ,42115.0
1566,Sunday,63 DR-REGO PARK MR,41894.0
1536,Sunday,4 AV-9 ST DFGMNR,41441.0
1799,Sunday,LORIMER ST LG,41404.0
1448,Sunday,116 ST 23,41351.0
1504,Sunday,21 ST-QNSBRIDGE F,41281.0
1749,Sunday,GRANT AV A,41229.0
1661,Sunday,BROADWAY G,41153.0
1457,Sunday,135 ST 23,41137.0
1677,Sunday,CATHEDRAL PKWY 1,40825.0
1490,Sunday,18 AV F,40780.0
1755,Sunday,HALSEY ST J,40456.0
1645,Sunday,BEDFORD PK BLVD BD,40258.0
1537,Sunday,40 ST LOWERY ST 7,40041.0
1766,Sunday,HUNTS POINT AV 6,39639.0
1483,Sunday,170 ST 4,39361.0
1590,Sunday,81 ST-MUSEUM BC,39257.0
1608,Sunday,ALLERTON AV 25,39085.0
1800,Sunday,MARBLE HILL-225 1,38903.0
1500,Sunday,20 AV D,38891.0
1781,Sunday,KEW GARDENS EF,38468.0
1496,Sunday,183 ST 4,38455.0
1876,Sunday,ST LAWRENCE AV 6,38418.0
1511,Sunday,23 ST FM,38380.0
1861,Sunday,RIT-ROOSEVELT R,38320.0
1832,Sunday,NORWOOD AV JZ,38183.0
1466,Sunday,145 ST 1,38104.0
1767,Sunday,INTERVALE AV 25,37987.0
1593,Sunday,86 ST 1,37862.0
1502,Sunday,207 ST 1,37826.0
1867,Sunday,SARATOGA AV 3,37777.0
1707,Sunday,DEKALB AV L,37624.0
1568,Sunday,66 ST-LINCOLN 1,37572.0
1518,Sunday,28 ST 1,37565.0
1491,Sunday,18 AV N,37272.0
1783,Sunday,KINGS HWY F,37024.0
1890,Sunday,TREMONT AV BD,36751.0
1912,Sunday,WOODLAWN 4,36359.0
1724,Sunday,FLATBUSH AV-B.C 25,35875.0
1513,Sunday,231 ST 1,35831.0
1560,Sunday,59 ST COLUMBUS 1ABCD,35640.0
1823,Sunday,NEW UTRECHT AV ND,35541.0
1831,Sunday,NORWOOD 205 ST D,35407.0
1509,Sunday,23 ST 6,35211.0
1776,Sunday,JFK JAMAICA CT1 E,34564.0
1547,Sunday,5 AV/53 ST EM,34495.0
1894,Sunday,V.CORTLANDT PK 1,34403.0
1485,Sunday,174 ST 25,34291.0
1860,Sunday,RIT-MANHATTAN R,33885.0
1820,Sunday,NEVINS ST 2345,33863.0
1895,Sunday,VAN SICLEN AV 3,33650.0
1740,Sunday,FULTON ST 2345ACJZ,33627.0
1828,Sunday,NEWKIRK AV 25,33622.0
1456,Sunday,125 ST ACBD,33594.0
1745,Sunday,GRAND ARMY PLAZ 23,32914.0
1529,Sunday,34 ST-PENN STA 123,32743.0
1870,Sunday,SHEPHERD AV C,32447.0
1821,Sunday,NEW LOTS AV 3,32330.0
1472,Sunday,155 ST BD,32249.0
1801,Sunday,MARCY AV JMZ,32169.0
1585,Sunday,79 ST D,32107.0
1857,Sunday,RALPH AV C,32046.0
1811,Sunday,MT EDEN AV 4,32008.0
1763,Sunday,HOYT ST 23,31930.0
1715,Sunday,EAST 105 ST L,31840.0
1519,Sunday,28 ST 6,31830.0
1644,Sunday,BEDFORD PK BLVD 4,31793.0
1544,Sunday,47-50 STS ROCK BDFM,31481.0
1670,Sunday,BUSHWICK AV L,31398.0
1475,Sunday,161/YANKEE STAD 4BD,31349.0
1542,Sunday,46 ST BLISS ST 7,31280.0
1567,Sunday,65 ST MR,31256.0
1665,Sunday,BROOK AV 6,31228.0
1597,Sunday,86 ST R,31156.0
1552,Sunday,50 ST D,30734.0
1866,Sunday,ROOSEVELT ISLND F,30227.0
1524,Sunday,30 AV NQW,30123.0
1654,Sunday,BOTANIC GARDEN S2345,30011.0
1735,Sunday,FREEMAN ST 25,29824.0
1492,Sunday,18 ST 1,29710.0
1516,Sunday,25 AV D,29666.0
1640,Sunday,BEACH 67 ST A,29643.0
1785,Sunday,KINGSBRIDGE RD 4,29611.0
1798,Sunday,LORIMER ST JM,29560.0
1788,Sunday,KINGSTON-THROOP C,29466.0
1618,Sunday,AVENUE I F,29059.0
1569,Sunday,67 AV MR,28990.0
1658,Sunday,BRIGHTON BEACH BQ,28935.0
1863,Sunday,ROCKAWAY AV C,28866.0
1507,Sunday,225 ST 25,28794.0
1667,Sunday,BUHRE AV 6,28660.0
1684,Sunday,CHAUNCEY ST JZ,28535.0
1680,Sunday,CENTRAL PK N110 23,28435.0
1649,Sunday,BEVERLEY ROAD BQ,28147.0
1480,Sunday,168 ST 1AC,28090.0
1897,Sunday,VAN SICLEN AVE C,28076.0
1488,Sunday,176 ST 4,27939.0
1830,Sunday,NORTHERN BLVD MR,27854.0
1460,Sunday,138/GRAND CONC 45,27831.0
1756,Sunday,HALSEY ST L,27337.0
1611,Sunday,ASTOR PL 6,27308.0
1651,Sunday,BLEECKER ST 6DF,27297.0
1769,Sunday,JACKSON AV 25,26876.0
1632,Sunday,BAY RIDGE AV R,26706.0
1845,Sunday,PAVONIA/NEWPORT 1,26377.0
1892,Sunday,UNION ST R,26266.0
1575,Sunday,71 ST D,26116.0
1878,Sunday,STEINWAY ST MR,26059.0
1824,Sunday,NEWARK BM BW 1,26004.0
1699,Sunday,COURT SQ 7,25760.0
1579,Sunday,74 ST-BROADWAY 7EFMR,25680.0
1604,Sunday,96 ST BC,25627.0
1850,Sunday,PRESIDENT ST 25,25511.0
1639,Sunday,BEACH 60 ST A,25400.0
1636,Sunday,BEACH 25 ST A,25396.0
1713,Sunday,E 149 ST 6,25346.0
1571,Sunday,69 ST 7,24994.0
1759,Sunday,HEWES ST JM,24625.0
1786,Sunday,KINGSBRIDGE RD BD,24457.0
1875,Sunday,SPRING ST CE,24373.0
1813,Sunday,MYRTLE-WILLOUGH G,24365.0
1686,Sunday,CHURCH AV 25,24351.0
1663,Sunday,BROADWAY NQW,24312.0
1698,Sunday,CORTLANDT ST RNW,24283.0
1657,Sunday,BRIARWOOD EF,24102.0
1535,Sunday,39 AV NQW,24062.0
1691,Sunday,CLARK ST 23,24058.0
1650,Sunday,BEVERLY RD 25,23914.0
1738,Sunday,FT HAMILTON PKY FG,23879.0
1904,Sunday,WEST FARMS SQ 25,23855.0
1773,Sunday,JAY ST-METROTEC ACF,23787.0
1739,Sunday,FT HAMILTON PKY N,23759.0
1538,Sunday,42 ST-BRYANT PK BDFM7,23615.0
1562,Sunday,59 ST NQR456W,23549.0
1583,Sunday,77 ST R,23181.0
1770,Sunday,JAMAICA 179 ST F,23050.0
1721,Sunday,EUCLID AV AC,23021.0
1601,Sunday,90 ST-ELMHURST 7,22892.0
1514,Sunday,233 ST 25,22840.0
1653,Sunday,BOROUGH HALL R2345,22656.0
1668,Sunday,BURKE AV 25,22518.0
1747,Sunday,GRAND ST L,22502.0
1647,Sunday,BERGEN ST 23,22496.0
1731,Sunday,FOREST HILLS 71 EFMR,22405.0
1543,Sunday,46 ST MR,22317.0
1737,Sunday,FT HAMILTON PKY D,22222.0
1913,Sunday,WORLD TRADE CTR ACE23,22127.0
1855,Sunday,QUEENS PLAZA EMR,22110.0
1463,Sunday,14 ST FLM123,21951.0
1555,Sunday,53 ST R,21599.0
1506,Sunday,219 ST 25,21554.0
1546,Sunday,4AV-9 ST DFGMNR,21133.0
1484,Sunday,170 ST BD,21109.0
1619,Sunday,AVENUE J BQ,21060.0
1862,Sunday,ROCKAWAY AV 3,21043.0
1723,Sunday,FAR ROCKAWAY A,20598.0
1674,Sunday,CANARSIE-ROCKAW L,20501.0
1784,Sunday,KINGS HWY N,20425.0
1683,Sunday,CHAMBERS ST JZ456,20315.0
1557,Sunday,57 ST F,20315.0
1864,Sunday,ROCKAWAY BLVD A,20290.0
1685,Sunday,CHRISTOPHER ST 1,20009.0
1599,Sunday,88 ST A,20004.0
1859,Sunday,RECTOR ST NRW,19983.0
1839,Sunday,PARK PLACE S,19793.0
1853,Sunday,PROSPECT AV R,19766.0
1909,Sunday,WINTHROP ST 25,19762.0
1572,Sunday,7 AV BDE,19587.0
1628,Sunday,BAY 50 ST D,19430.0
1473,Sunday,155 ST C,19023.0
1556,Sunday,55 ST D,18753.0
1704,Sunday,CYPRESS AV 6,18711.0
1648,Sunday,BERGEN ST FG,18612.0
1819,Sunday,NEREID AV 25,18575.0
1789,Sunday,KNICKERBOCKER M,18447.0
1486,Sunday,174-175 STS BD,18136.0
1626,Sunday,AVENUE X F,17993.0
1703,Sunday,CROWN HTS-UTICA 34,17853.0
1915,Sunday,ZEREGA AV 6,17827.0
1633,Sunday,BAY RIDGE-95 ST R,17775.0
1477,Sunday,163 ST-AMSTERDM C,17762.0
1815,Sunday,NASSAU AV G,17257.0
1701,Sunday,COURT SQ-23 ST EMG,17196.0
1805,Sunday,MIDDLETOWN RD 6,17170.0
1622,Sunday,AVENUE P F,17066.0
1503,Sunday,21 ST G,17046.0
1873,Sunday,SOUTH FERRY 1RW,16934.0
1810,Sunday,MOSHOLU PKWY 4,16736.0
1748,Sunday,GRAND-NEWTOWN MR,16729.0
1625,Sunday,AVENUE U N,16716.0
1900,Sunday,W 8 ST-AQUARIUM FQ,16650.0
1733,Sunday,FRANKLIN AV ACS,16307.0
1620,Sunday,AVENUE M BQ,16248.0
1450,Sunday,116 ST BC,16229.0
1592,Sunday,85 ST-FOREST PK J,16125.0
1797,Sunday,LONGWOOD AV 6,16103.0
1795,Sunday,LIBERTY AV C,15903.0
1896,Sunday,VAN SICLEN AV JZ,15892.0
1827,Sunday,NEWARK HW BMEBE 1,15825.0
1606,Sunday,9TH STREET 1,15808.0
1734,Sunday,FRANKLIN ST 1,15775.0
1817,Sunday,NECK RD BQ,15230.0
1581,Sunday,75 ST-ELDERTS JZ,14918.0
1515,Sunday,238 ST 1,14694.0
1679,Sunday,CENTRAL AV M,14677.0
1774,Sunday,JAY ST-METROTEC R,14667.0
1694,Sunday,CLINTON-WASH AV C,14609.0
1482,Sunday,169 ST F,14491.0
1675,Sunday,CARROLL ST FG,14457.0
1664,Sunday,BRONX PARK EAST 25,14328.0
1752,Sunday,GROVE STREET 1,14306.0
1660,Sunday,BROAD ST JZ,13812.0
1910,Sunday,WOODHAVEN BLVD JZ,13687.0
1804,Sunday,METS-WILLETS PT 7,13681.0
1907,Sunday,WHITLOCK AV 6,12877.0
1849,Sunday,PENNSYLVANIA AV 3,12733.0
1447,Sunday,111 ST J,12662.0
1678,Sunday,CATHEDRAL PKWY BC,12554.0
1902,Sunday,WALL ST 23,12079.0
1868,Sunday,SENECA AVE M,12022.0
1843,Sunday,PATH NEW WTC 1,11760.0
1637,Sunday,BEACH 36 ST A,11748.0
1671,Sunday,CANAL ST 1,11586.0
1793,Sunday,LEXINGTON AV/53 EM6,11225.0
1517,Sunday,25 ST R,11109.0
1467,Sunday,145 ST 3,10926.0
1687,Sunday,CHURCH AV BQ,10705.0
1443,Sunday,104 ST JZ,10676.0
1837,Sunday,OZONE PK LEFFRT A,10461.0
1796,Sunday,LIVONIA AV L,10331.0
1531,Sunday,34 ST-PENN STA ACE,10132.0
1725,Sunday,FLUSHING AV G,10088.0
1689,Sunday,CITY / BUS 1,10073.0
1641,Sunday,BEACH 90 ST AS,9916.0
1470,Sunday,14TH STREET 1,9745.0
