,DAYS,STATION_LINE,TOTAL_TRAFFIC
2185,Thursday,DEKALB AV BDNQR,98420.0
1983,Thursday,21 ST-QNSBRIDGE F,98150.0
2260,Thursday,KEW GARDENS EF,97886.0
2300,Thursday,NEW LOTS AV 3,97689.0
2171,Thursday,CLASSON AV G,97629.0
2385,Thursday,WHITEHALL S-FRY R1W,97570.0
1959,Thursday,168 ST 1AC,97501.0
2208,Thursday,FORDHAM RD BD,97373.0
2193,Thursday,E 180 ST 25,97152.0
2222,Thursday,GATES AV JZ,97023.0
1999,Thursday,28 ST NRW,95813.0
1972,Thursday,181 ST 1,95678.0
1919,Thursday,103 ST BC,95491.0
2360,Thursday,SUTPHIN-ARCHER EJZ,94592.0
2069,Thursday,81 ST-MUSEUM BC,94185.0
2320,Thursday,PARKSIDE AV BQ,93777.0
1968,Thursday,18 AV D,93305.0
1962,Thursday,170 ST 4,93021.0
2358,Thursday,STERLING ST 25,92740.0
2047,Thursday,66 ST-LINCOLN 1,92569.0
2141,Thursday,BROADWAY JCT ACJLZ,92255.0
1969,Thursday,18 AV F,92202.0
2197,Thursday,EASTN PKWY-MUSM 23,91782.0
1998,Thursday,28 ST 6,91535.0
2176,Thursday,CORTELYOU RD BQ,90449.0
1938,Thursday,137 ST CITY COL 1,89076.0
1923,Thursday,110 ST 6,89003.0
2011,Thursday,36 AV NQW,88510.0
2333,Thursday,PROSPECT PARK BQS,88414.0
2323,Thursday,PATH WTC 2 1,88359.0
1942,Thursday,14 ST FLM123,87199.0
2334,Thursday,QUEENS PLAZA EMR,87082.0
2331,Thursday,PROSPECT AV 25,86816.0
1966,Thursday,175 ST A,86802.0
2033,Thursday,52 ST 7,86474.0
2151,Thursday,CANAL ST ACE,86373.0
2236,Thursday,HARLEM 148 ST 3,86371.0
1991,Thursday,23 ST NRW,86283.0
1971,Thursday,18 ST 1,86075.0
2287,Thursday,MORISN AV/SNDVW 6,85740.0
2221,Thursday,FULTON ST G,85481.0
2005,Thursday,33 ST-RAWSON ST 7,85327.0
2228,Thursday,GRANT AV A,85318.0
2266,Thursday,KINGSTON AV 3,85311.0
2286,Thursday,MORGAN AV L,84705.0
1976,Thursday,190 ST A,84632.0
2330,Thursday,PRINCE ST NRW,84573.0
2015,Thursday,4 AV-9 ST DFGMNR,83941.0
2311,Thursday,NORWOOD AV JZ,81960.0
2312,Thursday,NOSTRAND AV 3,81842.0
2043,Thursday,6 AV FLM123,81679.0
2175,Thursday,CONEY IS-STILLW DFNQ,81377.0
1932,Thursday,125 ST 1,81089.0
2048,Thursday,67 AV MR,80569.0
1936,Thursday,135 ST 23,80483.0
1975,Thursday,183 ST 4,80348.0
2066,Thursday,8 AV N,80217.0
2224,Thursday,GRAND ARMY PLAZ 23,80047.0
2278,Thursday,LORIMER ST LG,79419.0
2123,Thursday,BEDFORD PK BLVD 4,79299.0
2076,Thursday,86 ST R,79243.0
2190,Thursday,DYCKMAN ST A,78884.0
1953,Thursday,157 ST 1,78672.0
2102,Thursday,AVENUE U BQ,77954.0
2156,Thursday,CATHEDRAL PKWY 1,77929.0
2307,Thursday,NEWKIRK AV 25,77856.0
2269,Thursday,KOSCIUSZKO ST J,77679.0
2254,Thursday,JEFFERSON ST L,77368.0
2186,Thursday,DEKALB AV L,76608.0
2246,Thursday,INTERVALE AV 25,76181.0
1933,Thursday,125 ST 23,76075.0
2354,Thursday,SPRING ST CE,75135.0
2387,Thursday,WILSON AV L,74926.0
2381,Thursday,WALL ST 23,74902.0
1939,Thursday,138/GRAND CONC 45,74774.0
2203,Thursday,FLATBUSH AV-B.C 25,74631.0
2279,Thursday,MARBLE HILL-225 1,74556.0
2391,Thursday,WOODLAWN 4,74467.0
2140,Thursday,BROADWAY G,74182.0
2290,Thursday,MT EDEN AV 4,73859.0
2234,Thursday,HALSEY ST J,73598.0
2001,Thursday,3 AV L,73588.0
2039,Thursday,59 ST COLUMBUS 1ABCD,73412.0
2314,Thursday,OCEAN PKWY Q,73389.0
2087,Thursday,ALLERTON AV 25,73332.0
2194,Thursday,EAST 105 ST L,73175.0
2272,Thursday,LEXINGTON AV/53 EM6,73008.0
2373,Thursday,V.CORTLANDT PK 1,72924.0
2124,Thursday,BEDFORD PK BLVD BD,72896.0
2181,Thursday,CRESCENT ST JZ,72735.0
