,DAYS,STATION_LINE,TOTAL_TRAFFIC
384,Friday,NEW LOTS AV 3,93412.0
117,Friday,52 ST 7,92794.0
277,Friday,E 180 ST 25,92793.0
129,Friday,63 DR-REGO PARK MR,92627.0
269,Friday,DEKALB AV BDNQR,92415.0
444,Friday,SUTPHIN-ARCHER EJZ,92165.0
24,Friday,14 ST 123FLM,92014.0
3,Friday,103 ST BC,91924.0
346,Friday,KINGS HWY F,91558.0
469,Friday,WHITEHALL S-FRY R1W,91115.0
83,Friday,28 ST NRW,90539.0
404,Friday,PARKSIDE AV BQ,89778.0
52,Friday,18 AV D,89068.0
442,Friday,STERLING ST 25,88955.0
153,Friday,81 ST-MUSEUM BC,88805.0
43,Friday,168 ST 1AC,88717.0
46,Friday,170 ST 4,88519.0
225,Friday,BROADWAY JCT ACJLZ,88289.0
95,Friday,36 AV NQW,87987.0
260,Friday,CORTELYOU RD BQ,87680.0
150,Friday,8 AV N,87543.0
7,Friday,110 ST 6,86904.0
417,Friday,PROSPECT PARK BQS,86899.0
82,Friday,28 ST 6,86779.0
370,Friday,MORGAN AV L,86531.0
414,Friday,PRINCE ST NRW,86022.0
131,Friday,66 ST-LINCOLN 1,85398.0
53,Friday,18 AV F,85328.0
350,Friday,KINGSTON AV 3,84921.0
305,Friday,FULTON ST G,84865.0
415,Friday,PROSPECT AV 25,84824.0
50,Friday,175 ST A,84612.0
320,Friday,HARLEM 148 ST 3,84005.0
471,Friday,WILSON AV L,83689.0
295,Friday,FRANKLIN AV 2345S,83212.0
22,Friday,137 ST CITY COL 1,82611.0
281,Friday,EASTN PKWY-MUSM 23,82478.0
26,Friday,14 ST FLM123,82212.0
235,Friday,CANAL ST ACE,82130.0
16,Friday,125 ST 1,82038.0
371,Friday,MORISN AV/SNDVW 6,82006.0
60,Friday,190 ST A,81682.0
312,Friday,GRANT AV A,81595.0
55,Friday,18 ST 1,80810.0
127,Friday,6 AV FLM123,80680.0
395,Friday,NORWOOD AV JZ,80484.0
407,Friday,PATH WTC 2 1,80244.0
99,Friday,4 AV-9 ST DFGMNR,79972.0
396,Friday,NOSTRAND AV 3,79706.0
279,Friday,EAST BROADWAY F,79328.0
171,Friday,ALLERTON AV 25,79245.0
20,Friday,135 ST 23,78513.0
259,Friday,CONEY IS-STILLW DFNQ,78222.0
85,Friday,3 AV L,78016.0
59,Friday,183 ST 4,77960.0
362,Friday,LORIMER ST LG,77658.0
75,Friday,23 ST NRW,77620.0
37,Friday,157 ST 1,76959.0
353,Friday,KOSCIUSZKO ST J,76885.0
418,Friday,QUEENS PLAZA EMR,76721.0
338,Friday,JEFFERSON ST L,76704.0
348,Friday,KINGSBRIDGE RD 4,76632.0
274,Friday,DYCKMAN ST A,76351.0
17,Friday,125 ST 23,76039.0
186,Friday,AVENUE U BQ,75759.0
270,Friday,DEKALB AV L,75500.0
160,Friday,86 ST R,75399.0
240,Friday,CATHEDRAL PKWY 1,75137.0
132,Friday,67 AV MR,74633.0
308,Friday,GRAND ARMY PLAZ 23,74588.0
391,Friday,NEWKIRK AV 25,73890.0
438,Friday,SPRING ST CE,73519.0
224,Friday,BROADWAY G,73381.0
330,Friday,INTERVALE AV 25,73036.0
439,Friday,ST LAWRENCE AV 6,72715.0
23,Friday,138/GRAND CONC 45,72605.0
457,Friday,V.CORTLANDT PK 1,72126.0
475,Friday,WOODLAWN 4,72008.0
287,Friday,FLATBUSH AV-B.C 25,71628.0
151,Friday,8 ST-NYU NRW,71576.0
363,Friday,MARBLE HILL-225 1,71266.0
318,Friday,HALSEY ST J,71217.0
11,Friday,116 ST 23,70844.0
374,Friday,MT EDEN AV 4,70672.0
352,Friday,KNICKERBOCKER M,70429.0
356,Friday,LEXINGTON AV/53 EM6,70156.0
76,Friday,231 ST 1,70082.0
278,Friday,EAST 105 ST L,69374.0
63,Friday,20 AV D,68871.0
230,Friday,BUHRE AV 6,68752.0
58,Friday,182-183 STS BD,68281.0
393,Friday,NORTHERN BLVD MR,67546.0
208,Friday,BEDFORD PK BLVD BD,67359.0
123,Friday,59 ST COLUMBUS 1ABCD,66940.0
148,Friday,79 ST D,66813.0
453,Friday,TREMONT AV BD,66613.0
333,Friday,JAMAICA 179 ST F,66372.0
135,Friday,7 AV BDE,66328.0
38,Friday,161/YANKEE STAD 4BD,65899.0
465,Friday,WALL ST 23,65843.0
65,Friday,207 ST 1,65774.0
146,Friday,77 ST R,65574.0
39,Friday,161/YANKEE STAD BD4,65440.0
79,Friday,25 AV D,65227.0
455,Friday,UNION ST R,65113.0
394,Friday,NORWOOD 205 ST D,65093.0
167,Friday,96 ST BC,63928.0
413,Friday,PRESIDENT ST 25,63688.0
87,Friday,30 AV NQW,63678.0
29,Friday,145 ST 1,63608.0
105,Friday,46 ST BLISS ST 7,63554.0
219,Friday,BOWLING GREEN 45,63436.0
365,Friday,METROPOLITAN AV GL,63081.0
130,Friday,65 ST MR,62700.0
89,Friday,33 ST-RAWSON ST 7,62474.0
