,DAYS,STATION_LINE,TOTAL_TRAFFIC
1419,Saturday,VERNON-JACKSON 7,59783.0
1214,Saturday,CLEVELAND ST J,58821.0
1323,Saturday,METROPOLITAN AV GL,58801.0
1080,Saturday,59 ST 456NQRW,58610.0
1329,Saturday,MORISN AV/SNDVW 6,58413.0
1373,Saturday,PROSPECT AV 25,58271.0
961,Saturday,103 ST BC,58025.0
1075,Saturday,52 ST 7,58021.0
1008,Saturday,175 ST A,57197.0
1098,Saturday,72 ST BC,57180.0
1010,Saturday,18 AV D,56977.0
1296,Saturday,JEFFERSON ST L,56968.0
1232,Saturday,DYCKMAN ST A,56347.0
995,Saturday,157 ST 1,56325.0
1033,Saturday,23 ST NRW,55962.0
1320,Saturday,LORIMER ST LG,55805.0
1025,Saturday,21 ST-QNSBRIDGE F,55601.0
1053,Saturday,36 AV NQW,55545.0
1016,Saturday,182-183 STS BD,55229.0
1193,Saturday,CANAL ST ACE,55212.0
1400,Saturday,STERLING ST 25,54780.0
974,Saturday,125 ST 1,54770.0
1354,Saturday,NOSTRAND AV 3,54467.0
1345,Saturday,NEWARK BM BW 1,54118.0
997,Saturday,161/YANKEE STAD BD4,53734.0
1108,Saturday,8 AV N,53527.0
1057,Saturday,4 AV-9 ST DFGMNR,53465.0
1278,Saturday,HARLEM 148 ST 3,53289.0
1062,Saturday,45 ST R,53255.0
980,Saturday,137 ST CITY COL 1,53244.0
1087,Saturday,63 DR-REGO PARK MR,52611.0
1133,Saturday,ASTORIA BLVD NQW,52437.0
1004,Saturday,170 ST 4,52160.0
975,Saturday,125 ST 23,52105.0
1270,Saturday,GRANT AV A,51648.0
1030,Saturday,23 ST 6,51492.0
1302,Saturday,KEW GARDENS EF,51484.0
1427,Saturday,WHITEHALL S-FRY R1W,51071.0
1144,Saturday,AVENUE U BQ,50981.0
1237,Saturday,EAST BROADWAY F,50874.0
1402,Saturday,SUTPHIN-ARCHER EJZ,50870.0
1176,Saturday,BOWERY JZ,50783.0
978,Saturday,135 ST 23,50666.0
1166,Saturday,BEDFORD PK BLVD BD,50485.0
1287,Saturday,HUNTS POINT AV 6,50441.0
1032,Saturday,23 ST FM,50424.0
1129,Saturday,ALLERTON AV 25,50193.0
1429,Saturday,WILSON AV L,50160.0
1228,Saturday,DEKALB AV L,49393.0
969,Saturday,116 ST 23,48818.0
1341,Saturday,NEVINS ST 2345,48336.0
1388,Saturday,SARATOGA AV 3,47946.0
1353,Saturday,NORWOOD AV JZ,47717.0
1276,Saturday,HALSEY ST J,47602.0
1017,Saturday,183 ST 4,47569.0
1321,Saturday,MARBLE HILL-225 1,47284.0
1397,Saturday,ST LAWRENCE AV 6,47264.0
1023,Saturday,207 ST 1,47118.0
1089,Saturday,66 ST-LINCOLN 1,46913.0
1111,Saturday,81 ST-MUSEUM BC,46692.0
1308,Saturday,KINGSTON AV 3,46385.0
1411,Saturday,TREMONT AV BD,46353.0
1068,Saturday,5 AV/53 ST EM,46083.0
1433,Saturday,WOODLAWN 4,45954.0
1198,Saturday,CATHEDRAL PKWY 1,45751.0
1021,Saturday,20 AV D,45515.0
1039,Saturday,28 ST 1,45413.0
1182,Saturday,BROADWAY G,45254.0
1081,Saturday,59 ST COLUMBUS 1ABCD,45153.0
1058,Saturday,40 ST LOWERY ST 7,45102.0
1288,Saturday,INTERVALE AV 25,44593.0
987,Saturday,145 ST 1,44563.0
1034,Saturday,231 ST 1,44298.0
1245,Saturday,FLATBUSH AV-B.C 25,44224.0
1012,Saturday,18 AV N,43494.0
1349,Saturday,NEWKIRK AV 25,43415.0
1266,Saturday,GRAND ARMY PLAZ 23,43283.0
1352,Saturday,NORWOOD 205 ST D,43122.0
1415,Saturday,V.CORTLANDT PK 1,43062.0
1065,Saturday,47-50 STS ROCK BDFM,42884.0
1114,Saturday,86 ST 1,42781.0
1344,Saturday,NEW UTRECHT AV ND,42385.0
1040,Saturday,28 ST 6,42303.0
1261,Saturday,FULTON ST 2345ACJZ,41810.0
1416,Saturday,VAN SICLEN AV 3,41594.0
977,Saturday,125 ST ACBD,41098.0
1284,Saturday,HOYT ST 23,40670.0
1006,Saturday,174 ST 25,40162.0
1118,Saturday,86 ST R,40130.0
1342,Saturday,NEW LOTS AV 3,39988.0
1332,Saturday,MT EDEN AV 4,39984.0
981,Saturday,138/GRAND CONC 45,39841.0
1304,Saturday,KINGS HWY F,39761.0
1175,Saturday,BOTANIC GARDEN S2345,39414.0
1011,Saturday,18 AV F,39374.0
1322,Saturday,MARCY AV JMZ,39188.0
1236,Saturday,EAST 105 ST L,38957.0
993,Saturday,155 ST BD,38896.0
1378,Saturday,RALPH AV C,38743.0
1088,Saturday,65 ST MR,38691.0
1186,Saturday,BROOK AV 6,38503.0
1013,Saturday,18 ST 1,38379.0
1165,Saturday,BEDFORD PK BLVD 4,38336.0
1132,Saturday,ASTOR PL 6,38318.0
1106,Saturday,79 ST D,38261.0
1306,Saturday,KINGSBRIDGE RD 4,38179.0
1188,Saturday,BUHRE AV 6,37885.0
1382,Saturday,RIT-ROOSEVELT R,37826.0
996,Saturday,161/YANKEE STAD 4BD,37808.0
1391,Saturday,SHEPHERD AV C,37806.0
1028,Saturday,225 ST 25,37714.0
1050,Saturday,34 ST-PENN STA 123,37390.0
1191,Saturday,BUSHWICK AV L,37282.0
1172,Saturday,BLEECKER ST 6DF,37151.0
1290,Saturday,JACKSON AV 25,36636.0
1351,Saturday,NORTHERN BLVD MR,36013.0
1413,Saturday,UNION ST R,35895.0
1418,Saturday,VAN SICLEN AVE C,35801.0
1384,Saturday,ROCKAWAY AV C,35666.0
1205,Saturday,CHAUNCEY ST JZ,35566.0
1009,Saturday,176 ST 4,35561.0
1037,Saturday,25 AV D,35430.0
1063,Saturday,46 ST BLISS ST 7,35305.0
1045,Saturday,30 AV NQW,35215.0
1090,Saturday,67 AV MR,35190.0
1309,Saturday,KINGSTON-THROOP C,34976.0
1294,Saturday,JAY ST-METROTEC ACF,34442.0
1001,Saturday,168 ST 1AC,34417.0
1170,Saturday,BEVERLEY ROAD BQ,34277.0
1201,Saturday,CENTRAL PK N110 23,34231.0
1277,Saturday,HALSEY ST L,34196.0
1256,Saturday,FREEMAN ST 25,34115.0
1366,Saturday,PAVONIA/NEWPORT 1,33971.0
1399,Saturday,STEINWAY ST MR,33942.0
1387,Saturday,ROOSEVELT ISLND F,33748.0
1376,Saturday,QUEENS PLAZA EMR,33470.0
1153,Saturday,BAY RIDGE AV R,33175.0
1396,Saturday,SPRING ST CE,33108.0
1207,Saturday,CHURCH AV 25,33057.0
1161,Saturday,BEACH 67 ST A,32766.0
1096,Saturday,71 ST D,32589.0
1219,Saturday,CORTLANDT ST RNW,32500.0
1381,Saturday,RIT-MANHATTAN R,32361.0
1220,Saturday,COURT SQ 7,32266.0
1268,Saturday,GRAND ST L,31973.0
1234,Saturday,E 149 ST 6,31962.0
1083,Saturday,59 ST NQR456W,31958.0
1104,Saturday,77 ST R,31898.0
1371,Saturday,PRESIDENT ST 25,31793.0
1179,Saturday,BRIGHTON BEACH BQ,31664.0
1291,Saturday,JAMAICA 179 ST F,31628.0
1242,Saturday,EUCLID AV AC,31419.0
1056,Saturday,39 AV NQW,31384.0
1059,Saturday,42 ST-BRYANT PK BDFM7,31283.0
1307,Saturday,KINGSBRIDGE RD BD,31105.0
1178,Saturday,BRIARWOOD EF,30759.0
1092,Saturday,69 ST 7,30517.0
1035,Saturday,233 ST 25,30500.0
1319,Saturday,LORIMER ST JM,30474.0
1171,Saturday,BEVERLY RD 25,30335.0
1100,Saturday,74 ST-BROADWAY 7EFMR,30306.0
1297,Saturday,JFK JAMAICA CT1 E,30251.0
1064,Saturday,46 ST MR,30012.0
1160,Saturday,BEACH 60 ST A,29976.0
1157,Saturday,BEACH 25 ST A,29825.0
1434,Saturday,WORLD TRADE CTR ACE23,29718.0
1125,Saturday,96 ST BC,29695.0
1195,Saturday,CANARSIE-ROCKAW L,29368.0
1425,Saturday,WEST FARMS SQ 25,29321.0
1122,Saturday,90 ST-ELMHURST 7,29153.0
1259,Saturday,FT HAMILTON PKY FG,28924.0
1252,Saturday,FOREST HILLS 71 EFMR,28564.0
1260,Saturday,FT HAMILTON PKY N,28353.0
1184,Saturday,BROADWAY NQW,28310.0
1189,Saturday,BURKE AV 25,28191.0
1027,Saturday,219 ST 25,28065.0
1206,Saturday,CHRISTOPHER ST 1,27976.0
1430,Saturday,WINTHROP ST 25,27836.0
1334,Saturday,MYRTLE-WILLOUGH G,27808.0
1374,Saturday,PROSPECT AV R,27694.0
984,Saturday,14 ST FLM123,27566.0
1174,Saturday,BOROUGH HALL R2345,27501.0
1204,Saturday,CHAMBERS ST JZ456,27287.0
1168,Saturday,BERGEN ST 23,27224.0
1067,Saturday,4AV-9 ST DFGMNR,27223.0
1383,Saturday,ROCKAWAY AV 3,27013.0
1005,Saturday,170 ST BD,26884.0
1380,Saturday,RECTOR ST NRW,26818.0
1093,Saturday,7 AV BDE,26558.0
1076,Saturday,53 ST R,26440.0
1225,Saturday,CYPRESS AV 6,26373.0
1212,Saturday,CLARK ST 23,26306.0
1120,Saturday,88 ST A,25936.0
1385,Saturday,ROCKAWAY BLVD A,25907.0
1280,Saturday,HEWES ST JM,25359.0
1340,Saturday,NEREID AV 25,25242.0
1078,Saturday,57 ST F,25045.0
1244,Saturday,FAR ROCKAWAY A,24981.0
1360,Saturday,PARK PLACE S,24610.0
1222,Saturday,COURT SQ-23 ST EMG,23968.0
1073,Saturday,50 ST D,23583.0
1149,Saturday,BAY 50 ST D,23478.0
1436,Saturday,ZEREGA AV 6,23371.0
1336,Saturday,NASSAU AV G,23070.0
1224,Saturday,CROWN HTS-UTICA 34,22867.0
1007,Saturday,174-175 STS BD,22720.0
1154,Saturday,BAY RIDGE-95 ST R,22548.0
1147,Saturday,AVENUE X F,22531.0
1305,Saturday,KINGS HWY N,22506.0
1326,Saturday,MIDDLETOWN RD 6,22427.0
1310,Saturday,KNICKERBOCKER M,22408.0
1258,Saturday,FT HAMILTON PKY D,21699.0
998,Saturday,163 ST-AMSTERDM C,21681.0
1331,Saturday,MOSHOLU PKWY 4,21515.0
1347,Saturday,NEWARK HM HE 1,21329.0
1169,Saturday,BERGEN ST FG,21211.0
994,Saturday,155 ST C,21069.0
1318,Saturday,LONGWOOD AV 6,21051.0
1254,Saturday,FRANKLIN AV ACS,21002.0
1269,Saturday,GRAND-NEWTOWN MR,20610.0
1113,Saturday,85 ST-FOREST PK J,20580.0
1394,Saturday,SOUTH FERRY 1RW,20537.0
1127,Saturday,9TH STREET 1,20463.0
1140,Saturday,AVENUE J BQ,20419.0
1146,Saturday,AVENUE U N,20355.0
1196,Saturday,CARROLL ST FG,19967.0
